name	year	discipline	total_years	society_name	society_members	attendees	venue	frequency	sponsors	virtual_option	digital_archives	attendance_cost	registration_fee	carbon_footprint	other_carbon_footprint	electonic_program	onsite_maternity	onsite_childcare	caregiver_grant	career_development	ecr_promotion_events	travel_awards	code_of_conduct	safety_instructions	gender_balance	keynote_gender_balance	speaker_gender_balance	invited_gender_balance	session_chair_gender_balance	conference_chair_gender_balance	environmental_sustainability	public_engagement	sustainability_initiatives	conference_url	other_details
SfN meeting	2018	Neuroscience	50	Society for Neuroscience	37,000	30,000	United States & Canada	Annual	NIH, Eli Lilly, Jansen, Biogen, SfN, Molecular Devices, Nancy Rutledge Zahniiser Fund, Bernice Grrafstein, Burroughs Wellcome Fund, Gruber, KOPF, AMGEN, eNeuro, Millipore Sigma	2 conference so far only: https://www.sfn.org/meetings/virtual-conferences/upcoming-conferences	None	 $2000-$4000	 $75-600	45000	9000	Yes provided App, online program book, daily program books, Meeting planner and curated itineraries	Yes but Parents and guardians are responsible for providing infant care supplies. The infant care room will be unsupervised. SfN will not be responsible for accidents or injuries that may occur in this room	Yes for 6 months-12 year children: The service provider, KiddieCorp, is a national firm with more than 20 years of experience in on-site conference child care. KiddieCorp services will provide attendees with flexibility in their meeting schedules and a reliable, affordable and trustworthy option for child care during the annual meeting.	None	Yes: 1.Teaching Computation in Neuroscience  2. Optimize Your Grant Application: News You Can Use From the NIH  3. The Art of Building a Career  4. Advancing Your Career Through Effective Science Writing for the Public and Creating Eye-Catching Research Statements   5. Building a Neuroscience Career at a Teaching Focused Institution   6. Neuroscience Departments and Programs Workshop - Hiring and Promoting Faculty in the Era of Team Science   7. Science Management  8. Becoming a Resilient Scientist  9. Navigating Team Science  10. Bringing Genetic Diversity to Neuroscientific Research  11.How to Thrive as a Woman in Neuroscience  12.Getting Creative with Course-Based Research Experiences to Enhance Scholarship and Generate Publishable Data  13. Integrating Research and Teaching at Primarily Undergraduate Institutions  14. Imposter Syndrome: Confronting the Career Development Monster Hiding Under the Bed  15. Reproducibility for Everyone  16. Preparing for Your Career Away From the Bench: Essential Skills for Navigating Your Career Transition  17. 	A Graduate Student and Postdoctoral Fellow Reception	Yes (1. Trainee Professional Development Award: For undergraduate students, graduate students, and postdoctoral fellows. Includes free registration and $1,000 - $2,000   2. Undergraduate Brain Awareness Travel Award: This award recognizes an undergraduate student who is involved in Brain Awareness Week. Includes free conference registration and a $750 travel stipend.  3. Science Journalism Student Award: For undergraduate or graduate students. Includes mentorship and covers travel expenses.	https://www.sfn.org/membership/professional-conduct/code-of-conduct-at-sfn-events.	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	Feature Lecture: 6 Men: 5 Women, Special Lecture: 8 Men: 7 Women	95 Men: 54 Women	Program Committee: 7 Women: 5 Men	None	None	None	https://www.sfn.org/meetings/neuroscience-2018	
APS meeting	2018	Physics	32	American Physical Society	55,368	12,000	United States	Twice a year	GC America, AvaDent Digital Dental Solutions, Dentsply Sirona Prosthetics, Ivoclar Vivadent, Panthera Dental, Straumann, Sesame Communications - Henry Schein One, Thommen Medical, ZirkonZahn, Southern Implants, Quintessence   , Palmeri Media Group	None	Many presenters provide recorded talks and slides(https://www.aps.org/meetings/multimedia/index.cfm?mtgYr=2018&mtgCd=MAR18&mtgUnit=&mtgVS=&mtgSE=0&fm=0&srhPresent=Go&prebacklink=yes), No digital posters	 $2000-$4000	$100-700	18000	3600	Yes online program book and scheduler	None	None	None	None	None	4-6 travel grants are awarded each quarter of the calendar year up to $500 each	https://www.aps.org/meetings/policies/code-conduct.cfm	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	No information available online.	No information available online.	No information available online.	None	None	None	https://www.aps.org/meetings/baps/march18.cfm	
ACS meeting	2018	Chemistry, Chemical Engineering	147	American Chemical Society	157,000	31,000	United States	Twice a year	ACS Publications, Baylor university, 3M, Royal Society of Chemistry, Arnold & Mabel Beckman Foundation, CME NASA, Chemical Computing Group, JEOL USA, Inc.,Thermo Fisher Scientific, Burrker, Accencio LLC, MilliporeSigma, Efficiency Aggregators, The College of St. Scholastica, Getson & Schatz, P.C., Waters Corp., Jefferson Institute for Bioprocessing	None	Keynote or Plenary talk vides only, technical program abstracts from past ACS Meetings as also available since 2015. Requires free ACS ID to log in.	 $2000-$4000	 $110-935	46500	9300	Yes online program book	Yes (Parent/Infant Room and childcare services during the meeting. For convenience and privacy, ACS has designated a room for parents)	Yes Not Free (Children participate in age-appropriate activities (that are non-chemistry related) including arts and crafts projects, active games and much more in a safe, nurturing environment at an ACS official property. The location will be sent after your registration is reviewed. Breakfast and lunch will be provided. This service is provided free of charge for all registered ACS meeting attendees.)	None	Yes very few (From Lab to Article: Insider Tips for Successful Publication)	None, An award only (ACS Physical Chemistry Division Early Career Awards)	Some restricted (Active ACS student chapters are eligible to receive an ACS National Meeting Travel Grant that may be used to cover registration fees, lodging, and/or transportation costs associated with ACS National Meetings. Grants are awarded on a first-come, first-served basis. Applications are sorted in order of receipt date, chapter activation date, and the number of ACS student members. If more applications are received than the allotted number of awards, your chapter will be placed on a waiting list.)	None	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	No information available online.	No information available online.	No information available online.	None	None	None	https://www.acs.org/content/acs/en/pressroom/news-room/meeting-news-releases-fall-2018.html	World's Largest Scientific Society by Membership. ACS is continuing to monitor developments related to the coronavirus disease (COVID-19) outbreak and potential impact on global travel to the Philadelphia national meeting. At present, the Pennsylvania Convention Center and our meeting hotels are all operating normally. Any changes to operating status will be communicated immediately to all registered meeting attendees.
BPS meeting	2018	Biophysics	64	American Biophysical Society	9,000	6,500	Annual meetings in United States, thematic meetings held at international locations	Annual	Physics Today journal, Lecia, Oxford Instruments Asylum Research AFMs, Alveole, Journal of General Physiology, Burrough Wellcome  Fund, Journal of Physical Chemistry, Ionptix, nanions, Sophion Bioscience, Beckman Coltour, Elements, Horbia Scientific, Burker, Wyatt Technologies, Hamamutsu, Journal of Cell Science, ACS OMEGA	None	None	 $2000-$4000	 $80-280	9750	1950	Yes (Meeting App desktop planner, online porgram book)	None	None	Yes (Child Care Grants for up to $500 per family are available for BPS Conference meeting attendees to apply for who will incur extra expenses for childcare during the meeting or bringing children to the meeting. Grants can be used to cover the following expenses:  Childcare expenses provided on-site at Granlibakken by http://www.allaboutkidsbabysitting.com/ Expenses incurred in bringing a caregiver and/or dependent to the meeting. Extra child/dependent care expenses at home incurred due to meeting attendance.  Expenses Not Allowed Regular home-based child/dependent care expenses (expenses that would have been incurred had the applicant not atteneded the meeting); Travel or other expenses related to attendees participation in the meeting such as, meeting registration, meals, housing, transportation costs, or other expenses the attendee would already be incurring by attending the meeting; Tickets for entertainment (parks, museums, etc); and, Meals/Snacks  *BPS does not provide child care providers and does not assume responsibility or liability for child care services.   Selecting Grants If the number of requests for grants exceeds the funding, preference will be given to applicants in the early stage of their careers.   Application of MisrepresentationBPS reserves the right to deny funds to applicants who misrepresent their funding needs.   Changes in Circumstances If, between the time of submitting your application and the dates of the meeting, your needs for the grant changes you must contact BPS. You will be informed if you are still eligible for funding.)	Yes (1. Looking Beyond Academia: Identifying Your Career Options using MyIDP, LinkedIn & More   2.Developing Your 30-Second Value Statement (aka Your Elevator Pitch)  3. The Strategic Postdoc: How to Find & Leverage your Postdoc Experience  4. Demystifying the Academic Job Search II: Preparing your Written Application Materials: CV, Cover Letter, and Research Statement   5. Nailing the Job Talk, or Erudition Ain’t Enough   6. The Industry Interview: What you need to do before, during, and after to get the job   7. Demystifying the Academic Job Search I: Understanding the Search Process from the Perspective of Search Committees and Decoding Job Announcements   8. Green Cards for Scientific Researchers: How to win your EB-1A/NIW Case! with Getson & Schat  9. Networking for Nerds: How to Create Your Dream Career  10. Leveraging LinkedIn in the PhD Job Search: Networking, Informational Interviews, and More)	Yes (Student research achievement award (SRAA) for graduate & postdoctoral trainees)	Yes:a limited number of awards for Undergraduates and graduate trainees, postdoctoral researchers, mid-career scientists (non-tenured, excludes full professors or equivalent) 	https://www.biophysics.org/code-of-conduct	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	Total invited Subgroup speakers: 71 Men: 42 Women	Subgroup session chairs: 10 Men: 10 Women	No Information available online.	None	None	None	https://www.biophysics.org/2020tahoe/general-info/bps-conference-faqs	
GRC Family of meetings	2018	Multidisciplinary	55	Gordon Research Conferences a nonprofit Organization	Not Applicable, not a society	11,000	meetings in United States and at international locations	Twice a year	National Institutes of Health (NIH) grants	None	None	 $2000-$4000	 $500-1200	16500	3300	None (only talks listed on the GRC website not poster abstracts)	None	None	None	Yes (typically a career development talk and a mentorship talk)	Yes holding the GRS for Early career graduate and postdoctral trainees: meeting for trainees the day before GRS	Car Strom Underrepresented Minority Fellowship: Eligibility: must be:     Graduate student, postdoc, faculty or research scientist     Hispanic or Latino, American Indian or Alaska Native, Black or African American, Native Hawaiian or Other Pacific Islander     U.S. Citizen or permanent resident with a Green Card     Currently working at a U.S. institution     Is attending a GRC for the first time	https://www.grc.org/about/grc-policies-and-legal-disclaimers/	None	None	No Information available online.	No Information available online.	No Information available online.	No Information available online.	No Information available online.	None	None	None	https://www.grc.org/	over 300 conferences a year with 11,000 attendees
FASEB Family of meetings	2018	Biology & Biophysics	37	Federation for Experimental Biology (FASEB is made up of 29 scientific member societies, representing more than 130,000 researchers from around the world)	130,000	64,000	meetings in United States and at international locations	Biennial	No information available online.	None	None	 $2000-$4000	 $500-1200	96000	19200	None	None	None	None	None	None	Yes, Only for women, underrepresented minorities, and junior trainees (The availability of financial support and awards varies by conference and is contingent upon funding. In addition, most SRCs provide Travel, Poster, or Short-Talk Awards. The awards are generally based on the quality of submitted abstracts, poster presentations, or oral presentations and typically range from $250-$1,000.)	https://secure.faseb.org/src/2018/code-of-conduct.htm	None	None	No Information available online.	No Information available online.	No Information available online.	No Information available online.	No Information available online.	None	None	None	https://faseb.org/Science-Research-Conferences.aspx	64000 (200 attendees for 320 meetings a year)
IEEE Family of meetings	2018	Engineerining Disciplines	57	IEEE (Institute of Electrical and Electronics Engineers) 	422,000	200000	Varies with many locations around the world	many times a year	No information available online.	None	Some recorded talks	 $2000-$4000	 $200-700	300000	60000	None	None	None	None	None	None	Yes (1. IEEE Outstanding Student-Paper Travel Grants 2. IEEE Conference Travel Grant Program for Researchers from Developing Countries.)	https://www.ieee.org/conferences/event-safety-and-conduct-statement-for-conferences.html	None	None	No Information available online.	No Information available online.	No Information available online.	No Information available online.	No Information available online.	None	None	None	https://www.ieee.org/conferences/index.html	IEEE (Institute of Electrical and Electronics Engineers) is the World's largest Engineering Society by Membership with over 422,000 members in more than 160 countries, more than 50 percent of whom are from outside the United States. More than 123,000 Student members. 339 Sections in ten geographic Regions worldwide. IEEE holds more than 1,900 conferences a year. 
Intelligent Systems for Molecular Biology (ISMB) ISCB	2018	Computational Biology	26	ISMB (Intelligent Systems for Molecular Biology)	3,400	1,500	International/Switzerland, Chicago, IL, USA	Annual	H3ABioNet, Wellcome Trust, Mozilla, APCDR	None	Select talks (https://www.youtube.com/c/ISCBScienceonDemand): Live-steaming (and rebroadcast) of the ISMB/ECCB 2019 Distinguished Keynotes ISCB proudly presents the live video-casting of the ISMB/ECCB 2019 keynote speakers. ISCB members who are unable to attend the flagship conference can watch the keynotes complimentary. Nonmembers can register for the ISMB/ECCB 2019 live broadcast for $250 USD. ISCB will be live broadcasting the keynotes daily at the scheduled program time and will re-broadcast the presentation at 6:00 PM CET. The ISCB Distinguished Keynote on Sunday, July 21 and presentation of the Accomplishments by a Senior Scientist Award and keynote will be broadcasted at its programmed time with no re-broadcast. Registration to this event gives access to both the live broadcast and the rebroadcast of the sessions.	 $2000-$4000	 $500-1500	2250	450	Yes Conference App and .pdf of program book	Yes (A private room is available during the conference for nursing mothers and others with sensitive personal needs. Staff at the registration desk will direct you to the room. Please note that this room is not staffed and contains tables, chairs, and a waste basket. A restroom is located nearby)	None-Off-site at a charge ( ISCB is unfortunately unable to provide childcare services. Attendees are encouraged to contact their hotel concierge to arrange individual or group childcare. Please check with your hotel well in advance of your arrival date. Child Care options are available through the following companies and are independent of ISCB and the ISMB conference: American Childcare: https://www.americanchildcare.com/contact.htm Sitters Studio: http://www.sittersstudio.com  College Nannies and Tutors: https://www.collegenanniesandtutors.com/office/state/IL)	None 	Yes: 1. Career Fair for graduate and postdoctoral trainees on job search 2. Junior Principal Investigator Sessions: A.How to outline an individualized career development plan to become a successful PI(This session will cover the concept of having an active role on your own career development and empowering trainees to have a strategy when picking mentors and pursuing training. This encompasses making very conscious decisions about what your niche or "brand" will be when looking for jobs (academic or not). Having an "IDP" is a requirement for all NIH grants on the "training" phases and it is also being requested by private foundations.)   B.Climbing the grant ladder: The importance of establishing a record of funding early in your career(Grantsmanship has a (steep) learning curve and the earlier you start to climb the better you will be by the time you really need to get funded. Starting a position with funding makes you extremely attractive in a job search, and it used to be exceptional but it is slowly becoming the norm. This session will go through the typical grant ladders available in the US and in Europe and provide tips on how to climb and how to help your trainees begin their journey.) C.Strategies to generate data: wet-lab, collaborations and consortia(As a computational person, having your own wetlab can be extremely beneficial providing you with experimental control and access to additional funding. However, is it wise to venture outside your area of expertise? Or is it better to rely on collaborations? How do you go about supervising PhDs in the wetlab if you have no experience yourself?)  Consortium projects can help you do bigger and better science. However, getting the most out of participation in a consortium and coming out on top can be difficult. D.How to get involved in the ISCB as a PI(The ISCB has expressed a desire to further engage senior postdocs and principal investigators in the society. In this session we will find out ways in which participants can become more active within the society.)   (How do you hire the best staff? How do you get tenure? What if you don’t get tenure? How do you manage a budget? How much admin should I do? How much should you travel? How do you motivate lab members? These questions and many more will be discussed amongst participants and each will share their secrets on what has worked best. This will be achieved through structured round table conversations amongst participants with the speakers.)	ISCB Student Council (https://www.iscbsc.org/) aim to promote the caree development of young computational biologists through their events. The Student Council conducts coordinated ECR events with ISCB-related events (ISMB, ECCB, ASBCB, ISCB-LA), such as the Student Council Symposium (SCS), European Student Council Symposium (ESCS), Student Council Symposium - Latin America (LA-SCS) and Student Council Symposium - Africa (SCS Africa). Also many student awards:Ian Lawson Van Toch Memorial Award for Outstanding Student Paper presented to two traineeas, F1000 Poster Awards presented to six trainees, RCSB and PDB Poster Prize presented to two trainees.	Yes (ISCB provides Travel Fellowship funds exclusively for ISCB student and post doctoral members to attend the annual Pacific Symposium on Biocomputing (PSB), Conference on Research in Computational Molecular Biology (RECOMB), Conference on Intelligent Systems for Molecular Biology (ISMB), the European Conference on Computational Biology (ECCB), and APBioNet's International Conference on Computational Biology (InCoB). With the exception of PSB which is regularly held the first week of January in Hawaii, these other conferences typically move around geographically each year, and each are separated by several weeks or several months so as not to overlap. If you are a student or post doc presenting a paper or poster at any of these conferences and you need travel support funds to attend the conference please complete the application process as outlined on each of the conference websites (see conference calendar for links to the respective upcoming conference websites). ISCB fellowships to the annual ISMB conference are primarily supported through grant funds from U.S. government agencies, including the National Science Foundation (NSF), the Department of Energy (DOE), and in some cases the National Institutes of Health/National Institute of General Medical Sciences (NIH/NIGMS). When ISMB is held in conjunction with ECCB additional fellowship funding may be supported through European agencies. As a member society of the Federation of American Societies for Experimental Biology (FASEB), all of ISCB's Society-run annual conferences, ISMB, Rocky, CSHALS, GLBIO, ISCB-Africa, ISCB-Asia, and ISCB-Latin America are also eligible for the Minority Access to Research Careers (MARC) travel fellowship program supported by a long- term grant from the NIH. The MARC funds are exclusively designated for minority scientists who are U.S. citizens or permanent residents (green card holders). Full information on the MARC funding program can be found on the FASEB website at www.faseb.org. Due to limited funds we regret that it is generally not possible to fund all travel fellowship applicants to the above conferences.) 	https://www.iscb.org/ismbeccb2019-codeofconduct	None	None	3 Men: 2 Women	Not Applicable to this meeting.	11 Men: 3 Women	Steering Committee: 3 Men: 2 Women, Abstract chairs: 40 Men: 12 Women	Conference chairs: 2 Woman: 1 Man	None	None	None	https://www.iscb.org/iscb-contact-us/36-ISCB%20Conferences/ISCB%20Conferences/71-iscb-past-conferences	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6176502/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6329205/
European Conference on Computational Biology (ECCB)	2018	Computational Biology	18	ISMB (Intelligent Systems for Molecular Biology)	3,400	1,500	Athens, Greece	Annual	Elixir EU(https://elixir-europe.org/), Bioexcel(https://bioexcel.eu/), EMBL-EBI(https://www.ebi.ac.uk/), Cambridge University Press(https://www.cambridge.org/), Oxford University Press(https://global.oup.com/?cc=us), PeerCommunityInn(https://peercommunityin.org/), WeGreened.com(https://www.wegreened.com/),  GOBLET Global Organisation for Bioinformatics Learning, Education & Training (https://www.mygoblet.org/), ISCB, e-Noise(https://e-nios.com/), ISCB student council	None	Only 1 invited talk(http://eccb18.org/presentations/)	 $2000-$4000	 $500-1500	2250	450	Yes conference mobile App, 	None	None	None	None	ISCB Student Council (https://www.iscbsc.org/) aim to promote the caree development of young computational biologists through their events. The Student Council conducts coordinated ECR events with ISCB-related events (ISMB, ECCB, ASBCB, ISCB-LA), such as the Student Council Symposium (SCS), European Student Council Symposium (ESCS), Student Council Symposium - Latin America (LA-SCS) and Student Council Symposium - Africa (SCS Africa)	Yes (ISCB provides Travel Fellowship funds exclusively for ISCB student and post doctoral members to attend the annual Pacific Symposium on Biocomputing (PSB), Conference on Research in Computational Molecular Biology (RECOMB), Conference on Intelligent Systems for Molecular Biology (ISMB), the European Conference on Computational Biology (ECCB), and APBioNet's International Conference on Computational Biology (InCoB). With the exception of PSB which is regularly held the first week of January in Hawaii, these other conferences typically move around geographically each year, and each are separated by several weeks or several months so as not to overlap. If you are a student or post doc presenting a paper or poster at any of these conferences and you need travel support funds to attend the conference please complete the application process as outlined on each of the conference websites (see conference calendar for links to the respective upcoming conference websites). ISCB fellowships to the annual ISMB conference are primarily supported through grant funds from U.S. government agencies, including the National Science Foundation (NSF), the Department of Energy (DOE), and in some cases the National Institutes of Health/National Institute of General Medical Sciences (NIH/NIGMS). When ISMB is held in conjunction with ECCB additional fellowship funding may be supported through European agencies. As a member society of the Federation of American Societies for Experimental Biology (FASEB), all of ISCB's Society-run annual conferences, ISMB, Rocky, CSHALS, GLBIO, ISCB-Africa, ISCB-Asia, and ISCB-Latin America are also eligible for the Minority Access to Research Careers (MARC) travel fellowship program supported by a long- term grant from the NIH. The MARC funds are exclusively designated for minority scientists who are U.S. citizens or permanent residents (green card holders). Full information on the MARC funding program can be found on the FASEB website at www.faseb.org. Due to limited funds we regret that it is generally not possible to fund all travel fellowship applicants to the above conferences.) 	None	None	None	4 Men: 3 Women	None	2 Men: 1 Woman	23 Men: 2 Women	Program Committee: 8 Men: 2 Woman, Conference chairs: 1 Man: 1 Woman, Steering Committee: 8 Men: 1 Woman, Steering Committee: 11 Men: 3 Women	None	None	None	http://eccb18.org/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6176502/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6329205/
International Conference on Machine Learning (ICML)	2018	Machine Learning, AI, Computational Biology	36	International Conference on Machine Learning	Not sure if this conferences is attached to a society	774	Long Beach, California, USA	Annual	Intuit, Uber, Intel, Amazon DE Shaw & Co, Spotify	Yes Livestreaming of session talks and planery talks was done on Facebook	Yes recorded video archive available(https://icml.cc/Conferences/2019/Videos)	 $2000-$4000	 $500-1500	1161	232.2	Yes (Schedule multitrack and Schedule mobile friendly program books).	None	Yes (Child care is provided by KiddieCorp and fully sponsored. The program is for children ages 6 months through 12 years old and will be located at the Congress Center. Snacks and water will be provided. Medication (including sunscreen) will NOT be administered by KiddieCorp management or staff. Register early as availability is limited and handled on a first-come, first-served basis. KiddieCorp must receive the registration form to hold any advance reservations. You are also welcome to register on-site, however, there is no guarantee and it is not recommended. Children under the age of 14 must be accompanied by an adult at all times and are limited to the common areas and the sponsor hall. Strollers are permitted in common areas and in the sponsor hall, but only if there is a child in the stroller at all times. Children 14 years and older shall purchase a registration at the student rate. Parents and/or authorized guardians are responsible for students attending the conference. ICML assumes no more responsibilities for the students than any other attendees at the conference. Rules on children being allowed into areas where alcohol is being served will depend on the conference venue rules and security hired to manage the event.)	None	Yes	None	Yes available.	https://icml.cc/public/CodeOfConduct	None	Yes (Diversity & Inclusion: The International Machine Learning Conference is taking seriously questions of diversity, equity, and inclusion in our conference. Our efforts are building on several grassroots efforts from the Women in Machine Learning, Black in AI, Queer in AI, Jews in AI, {Dis}abilities in AI, and LatinX in AI.  ICML is working to expand these efforts to make the conference as welcoming as possible to all. In addition to hosting diversity-related events, the conference is also making and considering structural changes. These include a new Code of Conduct introduced in 2018. We are actively working to make the conference event itself more inclusive, including supporting childcare, nursing mothers, attendees with disabilities, and gender inclusive measures.  We are also exploring options with the venue and caterers to ensure that everyone can have a positive, equitable conference experience.)	Not Applicable to this meeting.	Not Applicable to this meeting.	2 Men: 2 Women	Not Applicable to this meeting.	No information available online.	None	None	None	https://icml.cc/	
